"fipstate","fipscty","naics12","emp","year","v1"
51,127,"237110",7,2005,NA
22,115,"722410",31,1993,NA
48,495,"337122",0.30575242638588,1984,NA
39,35,"621391",292,2004,NA
55,141,"236220",164,2009,NA
48,259,"561790",9,2013,NA
48,375,"423720",2.50000007450581,2002,NA
51,540,"515120",147,2004,NA
36,101,"541614",21.1822122484446,1988,NA
39,89,"541519",18,2017,728053
28,105,"561920",0,1994,NA
16,45,"561421",0,1982,NA
42,125,"4411//",968,1986,NA
29,211,"238290",0,1980,NA
29,45,"621310",9,2004,NA
51,117,"454390",9,2000,NA
42,55,"314999",30.8989878091961,1997,NA
39,17,"424420",19.666667252779,1988,NA
48,235,"541350",0,1987,NA
26,59,"713920",1.23938063159585,1982,NA
16,65,"524210",53,2014,NA
16,69,"2379//",35.7525527251617,1994,NA
48,121,"423140",9,2003,NA
48,67,"424990",1.00000002980232,2002,NA
39,139,"111///",0,1995,NA
19,15,"522320",0.713198326528072,1994,NA
47,5,"541213",0,2007,NA
48,125,"4529//",0.0422973716631532,1984,NA
13,139,"512240",0.113159155007452,1981,NA
42,17,"315240",903,2002,NA
48,405,"23----",1.02415888547789,1994,NA
48,73,"321912",18.6105869729072,1978,NA
13,95,"561330",374,2006,NA
20,63,"92----",0.0054644807241857,1993,NA
8,107,"713940",147.297188103199,1989,NA
51,750,"7139//",0,1981,NA
13,243,"444130",7,2012,NA
54,23,"4879//",0,1986,NA
33,11,"562991",19.3892724625766,1988,NA
45,19,"711320",12.4010111447424,1988,NA
28,17,"333318",0,1989,NA
36,59,"713990",557,2012,NA
12,89,"532230",48,2005,NA
4,11,"51----",0.36622941121459,1997,NA
41,65,"99----",0.275862067937851,1976,NA
23,1,"5418//",1.23383504897356,1978,NA
48,339,"423850",17.6666671931744,2001,NA
53,3,"451110",0,1983,NA
39,17,"511210",10.0000002980232,1985,NA
29,77,"7131//",3.40719238828409,1978,NA
45,35,"811198",0.836360305547714,1995,NA
20,11,"238220",41,2006,NA
6,13,"314120",31.5521125793457,1977,NA
13,83,"446199",0,1979,NA
12,113,"2372//",11.3749622404575,1986,NA
13,299,"7223//",19.2792503517121,1996,NA
18,141,"531130",38.2000001817942,1998,NA
42,17,"332722",669,1994,NA
51,121,"7113//",3.76734752894102,1978,NA
18,25,"713290",0.259477607905865,1986,NA
34,31,"332613",63.7234382629395,1977,NA
17,179,"454390",2.9708738476038,1986,NA
27,93,"621310",9,2003,NA
37,33,"212313",20,1984,NA
17,125,"445110",156,2003,NA
55,21,"423690",10,2011,NA
38,59,"811198",5,2008,NA
36,43,"551///",1.22447163449e-05,1992,NA
21,107,"484121",38,2011,NA
27,53,"238320",684,1998,NA
51,730,"522291",2,2010,NA
17,163,"238160",105.000003129244,2002,NA
42,7,"541850",0,2000,NA
51,85,"541512",6.33333352208138,1980,NA
13,95,"813110",734,2011,NA
13,235,"517110",56.3574550747871,1988,NA
37,151,"541614",0.25538837843222,1982,NA
31,53,"453998",2.31971889734268,1978,NA
40,125,"238320",3.24874311313033,1996,NA
12,39,"611420",59,2004,NA
55,85,"424420",3.00000008940697,1993,NA
36,3,"812990",1.68892182409763,1988,NA
53,35,"5171//",3.16666676104069,1983,NA
37,91,"532230",0,1977,NA
18,69,"5171//",0.0308251827702034,1985,NA
38,67,"713210",8.81655359268188,1994,NA
28,7,"517210",10.2242380724958,1983,NA
5,143,"311920",2.77373863756657,1982,NA
34,3,"332111",20,1983,NA
37,21,"451130",48.6290672719479,1994,NA
5,81,"532292",0,1990,NA
51,63,"447///",3.24483007192612,1984,NA
29,195,"238190",7.83333356678486,1975,NA
18,59,"812310",11,1975,NA
39,135,"236115",0,1976,NA
6,113,"327110",9,2002,NA
8,97,"611699",9,2010,NA
25,25,"454113",72.0000021457672,1999,NA
27,3,"5179//",2.11111123694314,1984,NA
31,25,"325998",1.35950043424964,1977,NA
22,47,"561330",25.2686442732811,1992,NA
21,185,"5419//",57.0170049271255,1997,NA
41,39,"424320",11,2018,775469
1,131,"5241//",6.75,1995,NA
23,19,"322220",0,1992,NA
12,109,"4832//",0.0468633659183979,1991,NA
